Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement,2022,10.1525/collabra.35271,Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies",To investigate whether author involvement increases replicability,"False [Comment: No formal definition, but refer to replicability]",NA,Different data - same analysis,None of the above,True,"Original vs. meta-analysis of all replications [Comment: No clear explanation of metric used, but they did a random-effects meta-analysis on all the replications and then compared this with the original results]",False,NA,False,NA,False,NA
Is Economics Research Replicable? Sixty Published Papers From Thirteen Journals Say “Often Not”,2022,10.1561/104.00000053,Helena Hartmann,Social Sciences and Humanities,Macroeconomics,"Many Phenomena, Many studies",to replicate 67 macroeconomic papers published in 13 well-regarded economics journals using author-provided replication ﬁles that included both data and code by following a preanalysis plan.,True,ability to use the author-provided data and code ﬁles to produce the key qualitative conclusions of the original paper,Same data - same analysis,None of the above,True,Reproduce Figures and Tables;produce the key qualitative conclusions of the original paper;qualitatively reproduce the key results of the paper,False,NA,False,NA,False,NA
Is Economics Research Replicable? Sixty Published Papers From Thirteen Journals Say “Often Not”,2022,10.1561/104.00000053,Joris Frese,Social Sciences and Humanities,Economics; Macroeconomics,"Many Phenomena, Many studies","""We attempted to replicate 67 macroeconomic papers published in 13 well-regarded economics journals using author-provided replication ﬁles that included both data and code"" (Abstract)",True,"""We deﬁned a successful replication as when the authors or journal provided data and code ﬁles that allowed us to qualitatively reproduce the key results of the paper."" (p.8)",Same data - same analysis,None of the above,True,"Their ""deﬁnition corresponds to replication - veriﬁcation by Clemens (2015)’s Table 1 with the added condition of the authors providing us data and code ﬁles, a rating of three out of ﬁve, “minor discrepancies,” or better by Glandon (2010), and “partially successful replication” or better by McCullough, McGeary, and Harrison (2006)."" (p.8, footnote 15)",True,"(1) 10.1111/joes.12139 [Comment: Replication-Verification by Clemens (2017)](2) No DOI [Comment: Replication Accuracy Rating System by Glandon (2010)](3) 10.1353/mcb.2006.0061 [Comment: Partially Successful Replication (""replicating enough of the results that the conclusions of the article remain intact"") by McCollough et al. (2006)]",True,"""We deﬁned success using this extremely loose deﬁnition to get an upper bound on what the replication success rate could be."" (p.8) [Comment: Replication Verification; Replication Accuracy System; Partially Successful Replication]",False,NA
Investigating Variation in Replicability,2014,10.1027/1864-9335/a000178,Joris Frese,Social Sciences and Humanities;Life Sciences,Psychology,"Many Phenomena, Many studies","""This research tested variation in thereplicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. [...] We compared whether theconditions such as lab versus online or US versus international sample predicted effect magnitudes."" (Abstract)",True,"""This research tested variation in thereplicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants."" (Abstract)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,False,NA,True,"""he replication sites included inthis project cannot capture all possible cultural variation,and most societies sampled were relatively Western,Educated, Industrialized, Rich, and Democratic (WEIRD)"" (p.151)"
Investigating Variation in Replicability,2014,10.1027/1864-9335/a000178,Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies","to examine the heterogeneity of effect sizes by the wide variety of samples and settings, and to provide an example of a paradigm for testing such variation.",True,"Replication is a central tenet of science; its purpose is to confirm the accuracy of empirical findings, clarify the conditions under which an effect can be observed, and estimate the true effect size. Successful replication of an experiment requires the recreation of the essential conditions of the initial experiment. [Comment: Replicability]",Different data - same analysis,(1) Agreement in statistical significance [Comment: Proportion of samples that rejected the null hypothesis in the expected and unexpected direction.](2) Agreement in effect size [Comment: intra-class correlation of samples across effects + heterogeneity of effect sizes using Cochran's Q and I2 statistics],False,NA,False,NA,False,NA,True,All replication studies were translated into the dominant language of the country of data collection
Data Models Coefficients: The Case of United States Military Expenditure,2007,10.1080/07388940601102845,Joris Frese,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","""The purpose of this article is to demonstrate the obvious: that use of the “wrong” data leads one to obtain improper results. Even if one employs the “right” (or at least “better”) data, one can obtain results that are inconsistent when the sample is varied."" (p.55)",True,"""The article replicates two published models of the effect of military expenditure on the economy of the United States. To study variations in the relevant estimated parameters, it applies two different military expenditure data sets to the models (budget-based vs. National Income and Product Accounts [NIPA]-based data). In an extension, the article examines coefficient stability when the economically preferred NIPA-based data are applied across varying time-periods."" (p.55)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,False,NA,False,NA
Data Models Coefficients: The Case of United States Military Expenditure,2007,10.1080/07388940601102845,Louise Townsin,Social Sciences and Humanities,Economics,"One Phenomenon, Many Studies","It is part of a tradition of a small body of methodological work investigating the (im)proper use of models and data in defense and peace economics [Comment: The article replicates two published models of the effect of military expenditure on the economy of the United States. To study variations in the relevant estimated parameters, it applies two different military expenditure data sets to the models (budget-based vs. National Income and Product Accounts [NIPA]-based data). In an extension, the article examines coefﬁcient stability when the economically preferred NIPA-based data are applied across varying time-periods.]",False,NA,Different data - same analysis [Comment: the exercise investigates what happens to the parameter estimates in these models when two different data sets—both purporting to measure United States military expenditure—are used.],Agreement in statistical significance,False,NA,False,NA,False,NA,False,NA
Emulation of Randomized Clinical Trials With Nonrandomized Database Analyses: Results of 32 Clinical Trials,2023,10.1001/jama.2023.4221,Helena Hartmann,Life Sciences,Medicine,"Many Phenomena, Many studies",To emulate the design of 30 completed and 2 ongoing randomized clinical trials (RCTs) of medications with database studies using observational analogues of the RCT design parameters (population intervention comparator outcome time [PICOT]) and to quantify agreement in RCT-database study pairs,False,NA,Different data - same analysis,(1) Agreement in effect size(2) Agreement in statistical significance,False,NA,False,NA,True,"Second, apparent agreement between RCT and database study results could occur if the effects of multiple factors (chance, emulation differences, bias) cancel each other out.",False,NA
Emulation of Randomized Clinical Trials With Nonrandomized Database Analyses: Results of 32 Clinical Trials,2023,10.1001/jama.2023.4221,Rachel Heyard,Life Sciences,Clinical trials;Medicine,"Many Phenomena, One Study","To emulate the design of 30 completed and 2 ongoing randomized clinical trials (RCTs) of medications with database studies using observational analogues of the RCT design parameters (population, intervention, comparator, outcome, time [PICOT]) and to quantify agreement in RCT-database study pairs.",True [Comment: Emulation],"We aimed to emulate RCT designs under the best possible circumstances by identifying and implementing observational analogues of RCT design parameters that define the research question (population, intervention, comparator, outcome, time-frame [PICOT]11), apply confounding adjustment meth- ods, and then compare the results of RCT–database study pairs",Different data - same analysis,"(1) Agreement in statistical significance [Comment: full statistical significance agreement, defined by estimates and CIs on the same side of the null](2) Agreement in effect size [Comment: estimate agreement, defined by whether estimates for the trial emulation fell within the 95% CI for the trial results](3) Agreement in effect size [Comment: standardized difference agreement between treatment effect estimates from trials and emulations, defined by standardized differences |z|<1.96]",True,partial significance agreement was defined as meeting the prespecified noninferiority criteria even though the database study may have indicated superiority,False,NA,False,NA,False,NA
Registered Replication Report: Rand Greene and Nowak (2012),2017,10.1177/1745691617693624,Helena Hartmann,Social Sciences and Humanities,Economics,"One Phenomenon, Many Studies",assessed the size and variability of the effect of time pressure on cooperative decisions by combining 21 separate preregistered replications of the critical conditions from Study 7 of the original article (Rand et al. 2012),False,NA,Different data - same analysis,Meta-analysis of original and replication study/studies,True,percentage point difference,False,NA,False,NA,False,NA
Registered Replication Report: Rand Greene and Nowak (2012),2017,10.1177/1745691617693624,Rachel Heyard,Social Sciences and Humanities,Economics,"One Phenomenon, Many Studies [Comment: Registered Replication Report]","This Registered Replication Report (RRR) assessed the size and variability of the effect of time pressure on cooperative decisions by combining 21 separate, preregistered replications of the critical conditions from Study 7 of the original article","False [Comment: No formal analysis, but refer to replication (and replicability)]",NA,Different data - same analysis,"Meta-analysis of original and replication study/studies [Comment: estimate the effect size meta-analytically across studies, and compare it with the original.]",False,NA,False,NA,False,NA,False,NA
The challenge of mapping the human connectome based on diffusion tractography,2017,10.1038/s41467-017-01285-x,Helena Hartmann,Life Sciences,Neuroscience,"One Phenomenon, Many Studies","systematically validate tractography studies, to assess how well the algorithms were able to reproduce the known connectivity, our study is mainly about accuracy with respect to the reference, rather than reproducibility or robustness of tractography.",False,NA,Same data - different analysis [Comment: one dataset which was differently analyzed],None of the above,True,"production of ground truth bundles, which were compared between studies, separated into valid and invalid bundles",False,NA,False,NA,False,NA
The challenge of mapping the human connectome based on diffusion tractography,2017,10.1038/s41467-017-01285-x,Rachel Heyard,Life Sciences,Medical imaging,"One Phenomenon, Many Studies",to assess how well the algorithms were able to reproduce the known connectivity.,"False [Comment: No formal definition, but refer to reproducibility]",NA,Same data - different analysis,None of the above,True,"Comparison of final results, as counts, proportions compared to ground truth (instead of original)",False,NA,False,NA,False,NA
Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,2018,10.1177/2515245918810225,Joris Frese,Social Sciences and Humanities;Life Sciences,Psychology,"Many Phenomena, Many studies","""We conducted preregistered replications of 28 classic and contemporary published findings, with protocols that were  peer reviewed in advance, to examine variation in effect magnitudes across samples and settings"" (Abstract)",True,"""We conducted preregistered replications of 28 classic and contemporary published findings, with protocols that were  peer reviewed in advance, to examine variation in effect magnitudes across samples and settings. Each protocol was  administered to approximately half of 125 samples that comprised 15,305 participants from 36 countries and territories"" (Abstract)","Different data - same analysis;Different data - different analysis [Comment: Mostly ""Different data - same analysis"",  but some slight changes in the analyses for a few replications]",(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""Across systematic replication efforts in the socialbehavioral sciences, there is accumulating evidence that  replication of published effects is less frequent than  might be expected, and that replication effect sizes are  typically smaller than original effect sizes (Camerer et al.,  2016; Camerer et al., 2018; Ebersole et al., 2016; Klein  et al., 2014a; Open Science Collaboration, 2015). For  example, Camerer et al. (2018) successfully replicated  13 of 21 social science studies published in Science and  Nature. Among the failures to replicate, the average  effect size was approximately 0, but even among the  successful replications, the average effect size was about  75% of what was observed in the original experiments.  Failures to replicate can be due to errors in the replication or to unanticipated moderation by changes in sample and setting, as we investigated in the project reported  here. They can also occur because of pervasive lowpowered research plus publication bias that favors positive over negative results (Button et al., 2013; Cohen,  1962; Greenwald, 1975; Rosenthal, 1979) and because of  questionable research practices, such as p-hacking, that  can inflate the likelihood of obtaining false positives  (John, Loewenstein, & Prelec, 2012; Simmons, Nelson,  & Simonsohn, 2011). These other reasons for failure to  replicate, which can also contribute to replication effect  sizes being weaker than those originally observed, were  not investigated directly in the present research."" (p.447)",True,"""Exploratory comparisons revealed little heterogeneity between Western, educated, industrialized,  rich, and democratic (WEIRD) cultures and less WEIRD cultures (i.e., cultures with relatively high and low WEIRDness  scores, respectively)."" (Abstract)"
Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,2018,10.1177/2515245918810225,Rachel Heyard,Social Sciences and Humanities,social psychology;cognitive psychology,"Many Phenomena, Many studies","We conducted preregistered replications of 28 classic and contemporary published findings, with protocols that were peer reviewed in advance, to examine variation in effect magnitudes across samples and settings.",False [Comment: Replicability without clear definition],NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: Significance criterion with alpha 0.05 and 0.001, and alpha 0.05 combined with different sample sizes](2) Agreement in effect size",False,NA,False,NA,False,NA,"False [Comment: Exploratory comparisons revealed little heterogeneity between Western, educated, industrialized, rich, and democratic (WEIRD) cultures and less WEIRD cultures (i.e., cultures with relatively high and low WEIRDness scores, respectively)]",NA
The Brazilian Reproducibility Initiative,2019,10.7554/eLife.41602,Helena Hartmann,Life Sciences,Biomedical science,"Many Phenomena, Many studies",to assess the reproducibility of findings in biomedical science published by researchers based in Brazil,True,"many ways to define a successful replication, all of which have caveats. Reproducibility of the general conclusions on the existence of an effect (e.g. two results finding a statistically significant difference in the same direction) might not be accompanied by reproducibility of the effect size; conversely, studies with effect sizes that are similar to each other might have different outcomes in significance tests, percentage of original studies with effect sizes falling within the 95% prediction interval of a meta-analysis of the three replications, include other ways to define reproducibility as secondary outcomes, such as the statistical significance of the pooled replication studies, the significance of the effect in a meta-analysis including the original result and replication attempts, and a statistical comparison between the pooled effect sizes of the replications and the original result",Other [Add as comment] [Comment: two results finding a statistically significant difference in the same direction],"None of the above [Comment: describes plans to do things, but not results yet]",False,NA,False,NA,False,NA,False,NA
The Brazilian Reproducibility Initiative,2019,10.7554/eLife.41602,Rachel Heyard,Life Sciences,Biomedical Science [Comment: Published by researchers based in Brazil],"Many Phenomena, Many studies","to estimate the level of reproducibility of biomedical science in Brazil, and to investigate what aspects of the published literature might help to predict whether a finding is reproducible.","False [Comment: No formal definition, but refer to reproducibility]",NA,Different data - same analysis,(1) Agreement in statistical significance [Comment: the statistical significance of the pooled replication studies](2) Meta-analysis of original and replication study/studies [Comment: the significance of the effect in a meta-analysis including the original result and replication attempts](3) Agreement in effect size [Comment: statistical comparison between the pooled effect sizes of the replications and the original result.],True,the primary outcome of our analysis will be the percentage of original studies with effect sizes falling within the 95% prediction interval of a meta-analysis of the three replications.,False,NA,True,"(1) Reproducibility of the general conclusions on the existence of an effect (e.g. two results finding a statistically significant difference in the same direction) might not be accompanied by reproducibility of the effect size; conversely, studies with effect sizes that are similar to each other might have different outcomes in significance tests. Moreover, if non-replication occurs, it is hard to judge whether the original study or the replication is closer to the true result. [Comment: Significance and effect size, referencing 10.1177/0956797614567341](2) if inter-laboratory variability is high, prediction intervals can be wide, leading a large amount of results to be considered “reproducible”. Thus, replication estimates obtained by these methods are likely to be optimistic. On the other hand, failed replications will be more likely to reflect true biases, errors or deficiencies in the original experiments. [Comment: Primary outcome: referencing 10.1177/1745691616646366](3) incomplete reporting in the original study might increase inter-laboratory variation and artificially improve our primary outcome. [Comment: Primary outcome]",False,NA
The REPRISE project: protocol for an evaluation of REProducibility and Replicability In Syntheses of Evidence,2021,10.1186/s13643-021-01670-0,Helena Hartmann,Social Sciences and Humanities,Health;Meta science,"Many Phenomena, Many studies","aim to explore various aspects relating to the transparency reproducibility and replicability of several components of systematic reviews with meta-analysis of the effects of health social behavioural and educational interventions;evaluate the completeness of reporting and sharing of review data, analytic code and other materials",True,"come up with the same answer to the same research question, obtain the same results when reanalysing the data collected in a study using the same computational steps and analytic code as the ori- ginal study",Different data - same analysis;Different data - different analysis,Meta-analysis of original and replication study/studies,True,indicators of transparency in the systematic reviews using descriptive statistics (e.g. frequency and percentage for categorical items and mean and standard deviation for continuous items);risk ratios with 95% confidence intervals to examine differences in percentages of each indicator;frequency and percentage for each response option;qualitative thematic analysis,False,NA,False,NA,True,"For the two reviews replicated by 15 teams, we will strive to select reviews with multiplicity of results in the included studies, diversity in the study characteristics, and diversity in the risk of bias in the included studies and extent of missing evidence (e.g. unpublished studies), and which match the content expertise of the majority of replicators."
The REPRISE project: protocol for an evaluation of REProducibility and Replicability In Syntheses of Evidence,2021,10.1186/s13643-021-01670-0,Rachel Heyard,Social Sciences and Humanities;Life Sciences,Evidence synthesis;Methodological research [Comment: In medicine and psychology],"Many Phenomena, One Study [Comment: One part of study 4 would be a ""one phenomena, many studies""]","How frequently methods are reported completely, and how often review data, analytic code and other materials (e.g. list of all citations screened, data collection forms) are made publicly available;Systematic reviewers’ views on sharing review data, analytic code and other materials and their understanding of and opinions about replication of reviews;The extent of variation in results when independently reproducing meta-analyses using the same computational steps and analytic code (if available) as used in the original review;The extent of variation in results when replicating the search, selection, data collection and analysis processes of an original review.",True,"reproducibility = ""evaluating the extent of variation in results when we independently reproduce meta-analyses using the same computational steps and analytic code (if available) as used in the original review.""; replicability = ""we will adopt the non-procedural definitions of replication advocated by Nosek and Errington [5] and Machery [6]; that is, replicators will not need to follow every single step exactly as reported in the original systematic review, but they will be constrained by the original review question and must avoid making changes to the methods and concepts that might be reasonably judged to violate an attempt to answer that question.""",Same data - same analysis;Different data - same analysis,"(1) Agreement in effect size [Comment: ""Results fully reproducible/replicable’ (i.e. no difference [with allowance for trivial discrepancies such as those due to computational algorithms] is observed between the original and recalculated meta-analytic effect estimate, its 95% confidence interval and inferences about heterogeneity reported in the original review). [...] We will calculate agreement between the original and recalculated meta-analytic effects, displayed using Bland-Altman plots, and tabulate discordance between P values for the meta-analytic effects, by categorising the P values based on commonly used levels of statistical significance, namely P < 0.01; 0.01 ≤ P < 0.05; 0.05 ≤ P < 0.1; P ≥ 0.1. [...] For the 30 systematic reviews replicated by one team each, we will assess agreement between the original and replicated review in the number of citations yielded from each database, in total and once duplicates were removed, by calculating the weighted Kappa statistic and percentage agreement""](2) Subjective assessment [Comment: will also independently specify whether they believe the observed difference between the original and recalculated summary estimate and its precision was meaningful, that is, would lead to a change in the interpretation of the results.]",False,NA,True,(1) https://doi.org/10.1016/S0140-6736(86)90837-8 [Comment: Agreement in effect size (Bland-Altman plot)](2) https://doi.org/10.2307/2529310 [Comment: Agreement in effect size (Kappa statistic)],False,NA,False,NA
Observing many researchers using the same data and hypothesis reveals a hidden universe of uncertainty,2022,10.1073/pnas.2203150119,Joris Frese,Social Sciences and Humanities,Political Science; Sociology,"One Phenomenon, Many Studies","""This study explores how researchers’ analytical choices affect the reliability of scientiﬁc ﬁndings"" (Abstract)",True,"""We coordinated 161 researchers in 73 research teams and observed their research decisions as they used the same data to independently test the same prominent social science hypothesis"" (Abstract)",Same data - same analysis;Same data - different analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""we note that the conclusions of this study were themselves derived from myriad seemingly minor (meta-)analytical decisions, just like those we observed among our analysts."" (p.6)",False,NA
Observing many researchers using the same data and hypothesis reveals a hidden universe of uncertainty,2022,10.1073/pnas.2203150119,Rachel Heyard,Social Sciences and Humanities,Political sciences,"One Phenomenon, Many Studies",This study explores how researchers’ analytical choices affect the reliability of scientiﬁc ﬁndings.,"False [Comment: No formal definition, but refer to reliability]",NA,Same data - different analysis [Comment: used the same data to independently test the same prominent social science hypothesis],(1) Agreement in effect size(2) Agreement in statistical significance,True,Agreement in team's subjective conclusions,False,NA,False,NA,True,"First, we do not know the generalizability of our study to different topics, disciplines, or even datasets."
Predicting the replicability of social and behavioural science claims from the COVID-19 Preprint Replication Project with structured expert and novice groups,2024,10.31222/osf.io/xdsjf,Helena Hartmann,Social Sciences and Humanities,Social science;Behavioral science;Covid 19 research,"Many Phenomena, Many studies",eliciting predictions from experts or novices could accelerate credibility assessment and improve allocation of replication resources for important and uncertain findings. We elicited judgments from experts and novices on 100 claims from preprints about an emerging area of research (COVID-19 pandemic) using a new interactive structured elicitation protocol and we conducted 35 new replications,False,NA,"Different data - different analysis [Comment: Replications were defined as tests of the original claim using new data and an inferential test that was expected to be theoretically equivalent to what was reported in the preprint (Nosek & Errington, 2020).]",(1) Agreement in statistical significance(2) Agreement in effect size,True,Expert and novice prediction and accuracy,False,NA,False,NA,False,NA
Predicting the replicability of social and behavioural science claims from the COVID-19 Preprint Replication Project with structured expert and novice groups,2024,10.31222/osf.io/xdsjf,Joris Frese,Social Sciences and Humanities;Life Sciences,Interdisciplinary,"Many Phenomena, Many studies","""We elicited judgments from experts and novices on 100 claims from preprints  about an emerging area of research (COVID-19 pandemic) using a new interactive structured  elicitation protocol and we conducted 35 new replications."" (Abstract)",True,"""The process of replications was conducted following the same methodology used in the rest of the SCORE program and resulted in two ‘types’ depending on the source of the new  data. [...]  New data replications were those that focused on collecting new data as part of the replication  attempt [...] Secondary data replications were those that focused on identifying another existing data source  that was not the same as the one used in the original study"" (p.4)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,True,10.31235/osf.io/46mnb,False,NA,"True [Comment: DEI not discusses regarding replicability, but regarding the inclusion of less educated ""novices"" for the assessment of replicability.]","""if novices can match experts’ performance, the viable pool of assessors is much  larger, potentially enhancing efficiency and reducing the cost of eliciting predictions. In teaching  contexts, the findings suggest more class assignments, dissertations, and projects could be tailored  to offer not only educational opportunities for students but to also contribute to scientific  “credibility control,” with students becoming involved in research evaluation as part of their  training"" (p.14)"
